Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg]
166,1,166,576,354.667,0,8,7675.585,286.356,NA,36.685,NA,109.093,-21.143
167,1,167,596,400,0,12.7,7725.135,239.481,NA,49.549,NA,66.194,-42.899
168,1,168,646.667,422.667,0,17.1,7780.64,188.868,NA,55.506,NA,24.102,-42.092
169,1,169,686.667,408,0,8,7823.244,180.114,NA,42.604,NA,-20.136,-44.239
170,2,1,572,177.333,0,6,0,0,NA,NA,NA,NA,NA
171,2,2,532,197.333,0,16,44.721,44.721,NA,44.721,NA,153.435,NA
172,2,3,506.667,226.667,0,6.9,83.48,81.867,NA,38.759,NA,130.815,-22.62
173,2,4,489.333,248,0,6,110.967,108.755,NA,27.487,NA,129.094,-1.721
174,2,5,472,282.667,0,0.8,149.726,145.242,NA,38.759,NA,116.565,-12.529
175,2,6,458.667,321.333,0,9,190.627,183.25,NA,40.901,NA,109.026,-7.539
176,2,7,454.667,369.333,0,0,238.793,225.014,NA,48.166,NA,94.764,-14.262
177,2,8,469.333,412,0,7,283.91,256.142,NA,45.117,NA,71.03,-23.734
178,2,9,481.333,458.667,0,8,332.095,295.582,NA,48.185,NA,75.579,4.55
179,2,10,502.667,485.333,0,8.1,366.245,315.707,NA,34.15,NA,51.34,-24.239
180,2,11,521.333,524,0,7.2,409.182,350.35,NA,42.937,NA,64.231,12.89
181,2,12,556,541.333,0,8,447.94,364.351,NA,38.759,NA,26.565,-37.666
182,2,13,593.333,561.333,0,5,490.293,384.592,NA,42.353,NA,28.179,1.614
183,2,14,633.333,578.667,0,6,533.887,405.993,NA,43.594,NA,23.429,-4.75
184,2,15,680,577.333,0,0,580.573,414.324,NA,46.686,NA,-1.637,-25.065
185,2,16,721.333,565.333,0,8,623.613,415.746,NA,43.04,NA,-16.189,-14.553
186,2,17,760,554.667,0,9,663.724,421.574,NA,40.111,NA,-15.422,0.767
187,2,18,790.667,536,0,4.7,699.625,420.068,NA,35.901,NA,-31.329,-15.907
188,2,19,816,514.667,0,1.2,732.744,416.329,NA,33.119,NA,-40.101,-8.772
189,2,20,845.333,488,0,12.1,772.387,413.793,NA,39.643,NA,-42.274,-2.173
190,2,21,860,461.333,0,9.1,802.821,404.475,NA,30.434,NA,-61.189,-18.916
